ID,Primary Thematic,Secondary Thematic,Platform,Content Family,Content Types,Owner Team,Author Team,Contact Team,Content Name (EN),Content Name (FR),Instance Name (EN | FR),Content Version,Default Language,Other Languages,Status,Creation Date,Published Date,Last Update Date,Next Review Date,Content Description,Activities,Audience,Data Classification,Periodicity,Key Words,Comms GPT?,Pre-Archiving?,Content Published Link,Content - Event Name,Content - Persons,Content - Geo,Content - BNPP Entities,Content - Times,Content - Cause,Content - Consequence,Content - Thematics
CNT_001,Client Experience,Satisfaction;CRM,Internal Only;Corporate Website,Report,Video,Legal Counsel,Legal Counsel,Press & Media,Data Governance Comms Plan,Plan de Communication Data Governance,Data Governance Comm | Plan de Communicatio,1.0,French,French;Italian,Published,2023-02-08,2024-06-06,2024-02-04,2025-12-16,"This content covers client experience for clients. It provides key insights, guidelines and best practices to support decision making and compliance.",Strategic Planning;HR Process;Audit,All Employees;Regulators,Public,Annual,finance;risk;sustainability,Yes,Yes,https://intranet.bnpparibas.com/content/001,Audit Committee,CFO,Middle East;Benelux,Arval;Hello bank!;Nickel,Immediate,,,governance;risk;transformation
CNT_002,Operations,Procurement,Social Media,Report,Email,People Analytics,Recruitment,Reporting,2024 ESG Annual Report,Rapport Annuel ESG 2024,2024 ESG Annual Repo | Rapport Annuel ESG 2,2.2,English,,Published,2023-02-16,2023-05-31,2024-12-07,2026-03-10,"This content covers operations for regulators. It provides key insights, guidelines and best practices to support decision making and strategy.",Digital Initiative,Executive Committee;Regulators;Clients,Confidential,Annual,digital;innovation;data,,Yes,,Townhall,,APAC,Cetelem;Arval;Floa,Multi-year,Regulatory Change,Cost Reduction,ESG;finance;compliance;transformation
CNT_003,Innovation,Blockchain;Open Banking,Social Media;SharePoint,Campaign,Podcast,Recruitment,Regulatory Affairs,Employee Engagement,Monthly HR Newsletter,Newsletter Mensuelle RH,Monthly HR Newslette | Newsletter Mensuelle,1.1,French,Portuguese,Active,2023-04-20,2024-07-24,2024-04-26,2025-06-11,"This content covers innovation for partners. It provides key insights, guidelines and best practices to support decision making and operations.",Communication;Audit,Regulators;All Employees,Internal,Monthly,innovation;ESG;sustainability;transformation;culture,In Progress,No,,Board Meeting,CRO;CIO;CFO,Americas;APAC,Arval;BNP Paribas Cardif,Short-term,Strategic Decision,Compliance,culture;transformation;innovation
CNT_004,Digital Transformation,Automation,Corporate Website;SharePoint,Newsletter,Post,Reporting,Henri Dupont,Strategy,GDPR Compliance Guide,Guide de Conformité RGPD,GDPR Compliance Guid | Guide de Conformité ,1.3,English,Italian,Under Review,2021-10-13,2023-07-22,2025-04-06,2026-03-11,"This content covers digital transformation for risk officers. It provides key insights, guidelines and best practices to support decision making and compliance.",Data Management;Communication,Risk Officers;Regulators;Managers,Public,Ad hoc,ESG;AI;sustainability;data;risk,In Progress,Yes,https://intranet.bnpparibas.com/content/004,Board Meeting,Head of Comms;Business Line Head,Europe;Middle East,Hello bank!,,Internal Initiative,,culture;sustainability
CNT_005,Risk Management,Market Risk;Operational Risk,Corporate Website;Teams,Reference Document,Dashboard,Data Office,Finance,Recruitment,Operational Risk Dashboard,Dashboard Risques Opérationnels,Operational Risk Das | Dashboard Risques Op,3.2,English,,Active,2020-01-14,2025-01-06,2024-06-04,2026-04-07,"This content covers risk management for board. It provides key insights, guidelines and best practices to support decision making and compliance.",Digital Initiative,Partners;Regulators;Executive Committee,Internal,Weekly,innovation;culture;finance,In Progress,Yes,,,,Benelux;APAC,BNP Paribas Leasing,Multi-year,Market Evolution,Efficiency Gain,sustainability;digital;compliance;risk
CNT_006,People & Culture,Onboarding,Teams;Mass Mailing,Report,Podcast,Data Office,People Analytics,Press & Media,Data Quality Policy,Politique Data Quality,Data Quality Policy | Politique Data Quali,3.3,English,,Published,2021-09-04,2023-05-20,2024-01-12,2025-12-27,"This content covers people & culture for partners. It provides key insights, guidelines and best practices to support decision making and strategy.",Regulatory Reporting;Data Management,Managers,Internal,Ad hoc,compliance;finance,No,No,https://confluence.bnpparibas.com/pages/006,,COO,Americas,Floa;Arval;Hello bank!,Short-term,Market Evolution,Better UX,reporting;AI
CNT_007,Risk Management,Liquidity Risk;Credit Risk,Social Media,Report,Post,Social Media,Reporting,People Analytics,Q3 Performance Report,Rapport de Performance Q3,Q3 Performance Repor | Rapport de Performan,2.2,English,English;Italian,Archived,2022-01-23,2024-03-21,2024-01-18,2025-11-28,"This content covers risk management for executive committee. It provides key insights, guidelines and best practices to support decision making and compliance.",Strategic Planning;Data Management;Digital Initiative,Executive Committee;Regulators,Internal,Quarterly,client;innovation;reporting;risk;ESG,In Progress,No,https://confluence.bnpparibas.com/pages/007,Audit Committee,CRO,Africa,BNP Paribas SA,,Regulatory Change,Compliance,culture;sustainability
CNT_008,People & Culture,Well-being;Training,Confluence,Reference Document,Post,Social Media,Recruitment,Data Office,Responsible AI Charter,Charte IA Responsable,Responsible AI Chart | Charte IA Responsabl,3.1,English,Portuguese;Spanish,Approved,2021-05-31,2023-07-19,2024-11-12,2025-10-01,"This content covers people & culture for managers. It provides key insights, guidelines and best practices to support decision making and communication.",Client Relationship;Data Management;Regulatory Reporting,Managers;Risk Officers;Partners,Internal,Monthly,governance;strategy;ESG,No,No,,Digital Day,,APAC,BNP Paribas SA,Immediate,Regulatory Change,Risk Mitigation,digital;compliance;risk;transformation
CNT_009,Compliance,Sanctions;AML,Corporate Website;SharePoint,Press Release,Document,Data Office,Strategy,Recruitment,Cybersecurity Training Plan,Plan de Formation Cybersécurité,Cybersecurity Traini | Plan de Formation Cy,5.0,English,German;Spanish,Approved,2021-04-20,2023-06-13,2025-03-04,2026-08-30,"This content covers compliance for clients. It provides key insights, guidelines and best practices to support decision making and strategy.",Client Relationship;Regulatory Reporting;Data Management,Regulators;All Employees,Internal,Monthly,compliance;data;digital;risk;transformation,In Progress,No,,Regulatory Deadline,,LATAM;APAC,Hello bank!;BNP Paribas CIB,Short-term,Strategic Decision,Efficiency Gain,AI;strategy;innovation;transformation
